,CPII
1913-01-31,30.285408163265306
1913-02-28,30.285408163265306
1913-03-31,30.285408163265306
1913-04-30,30.285408163265306
1913-05-31,30.597628865979388
1913-06-30,30.285408163265306
1913-07-31,29.979494949494953
1913-08-31,29.979494949494953
1913-09-30,29.679700000000004
1913-10-31,29.679700000000004
1913-11-30,29.38584158415842
1913-12-31,29.679700000000004
1914-01-31,29.679700000000004
1914-02-28,29.979494949494953
1914-03-31,29.979494949494953
1914-04-30,30.285408163265306
1914-05-31,29.979494949494953
1914-06-30,29.979494949494953
1914-07-31,29.679700000000004
1914-08-31,29.09774509803922
1914-09-30,29.09774509803922
1914-10-31,29.38584158415842
1914-11-30,29.09774509803922
1914-12-31,29.38584158415842
1915-01-31,29.38584158415842
1915-02-28,29.679700000000004
1915-03-31,29.979494949494953
1915-04-30,29.679700000000004
1915-05-31,29.38584158415842
1915-06-30,29.38584158415842
1915-07-31,29.38584158415842
1915-08-31,29.38584158415842
1915-09-30,29.38584158415842
1915-10-31,29.09774509803922
1915-11-30,28.8152427184466
1915-12-31,28.8152427184466
1916-01-31,28.53817307692308
1916-02-29,28.53817307692308
1916-03-31,28.266380952380956
1916-04-30,27.999716981132078
1916-05-31,27.738037383177574
1916-06-30,27.481203703703706
1916-07-31,27.481203703703706
1916-08-31,27.229082568807343
1916-09-30,26.738468468468472
1916-10-31,26.265221238938054
1916-11-30,25.808434782608696
1916-12-31,25.585948275862073
1917-01-31,25.36726495726496
1917-02-28,24.733083333333337
1917-03-31,24.733083333333337
1917-04-30,23.555317460317465
1917-05-31,23.187265625000002
1917-06-30,22.830538461538463
1917-07-31,23.187265625000002
1917-08-31,22.830538461538463
1917-09-30,22.315563909774436
1917-10-31,21.984962962962964
1917-11-30,21.984962962962964
1917-12-31,21.66401459854015
1918-01-31,21.199785714285717
1918-02-28,21.04943262411348
1918-03-31,21.199785714285717
1918-04-30,20.901197183098596
1918-05-31,20.468758620689655
1918-06-30,20.19027210884354
1918-07-31,19.65543046357616
1918-08-31,19.272532467532468
1918-09-30,18.904267515923568
1918-10-31,18.5498125
1918-11-30,18.20840490797546
1918-12-31,17.98769696969697
1919-01-31,17.98769696969697
1919-02-28,18.320802469135806
1919-03-31,18.09737804878049
1919-04-30,17.772275449101798
1919-05-31,17.561952662721897
1919-06-30,17.561952662721897
1919-07-31,17.057298850574714
1919-08-31,16.768192090395484
1919-09-30,16.673988764044946
1919-10-31,16.397624309392267
1919-11-30,16.043081081081084
1919-12-31,15.703544973544975
1920-01-31,15.378082901554405
1920-02-29,15.220358974358975
1920-03-31,15.065837563451778
1920-04-30,14.620541871921183
1920-05-31,14.4076213592233
1920-06-30,14.200813397129188
1920-07-31,14.26908653846154
1920-08-31,14.620541871921183
1920-09-30,14.839850000000002
1920-10-31,14.914422110552767
1920-11-30,14.989747474747476
1920-12-31,15.298814432989694
1921-01-31,15.620894736842107
1921-02-28,16.13027173913044
1921-03-31,16.21841530054645
1921-04-30,16.397624309392267
